original_file,translated_file,pair_id,orig_lang,trans_lang,lang_ok,pair_id_ok,is_translation_ok,orig_length,trans_length,length_ratio,paragraphs_orig,paragraphs_trans,headings_orig,headings_trans,lists_orig,lists_trans,code_blocks_orig,code_blocks_trans,flags,severity
2018-01-14-文学自觉与自我实现 ——《我们的祖先》三部曲中现代人的自我意识.md,2018-01-14-文学自觉与自我实现 ——《我们的祖先》三部曲中现代人的自我意识_translated.md,文学自觉与自我实现 ——《我们的祖先》三部曲中现代人的自我意识,zh,en,True,True,True,9337,5931,0.635,39,38,2,2,8,7,0,0,,OK
2018-06-30-《菊与刀》与文化模式研究.md,2018-06-30-《菊与刀》与文化模式研究_translated.md,《菊与刀》与文化模式研究,zh,en,True,True,True,7016,4723,0.673,28,28,1,1,0,0,0,0,,OK
2018-06-01-福建古田教案交涉经过简述.md,2018-06-01-福建古田教案交涉经过简述_translated.md,福建古田教案交涉经过简述,zh,en,True,True,True,4982,4339,0.871,62,62,5,5,0,0,0,0,,OK
2018-01-15-关于“的”的几点思考.md,2018-01-15-关于“的”的几点思考_translated.md,关于“的”的几点思考,zh,en,True,True,True,6085,4259,0.7,43,43,0,0,27,27,0,0,,OK
2018-05-15-De“的、地、得”字短语刍议.md,2018-05-15-De“的、地、得”字短语刍议_translated.md,De“的、地、得”字短语刍议,zh,en,True,True,True,8519,4752,0.558,68,68,0,0,49,49,0,0,,OK
2018-12-01-寂寞和希望：铁屋中的呐喊.md,2018-12-01-寂寞和希望：铁屋中的呐喊_translated.md,寂寞和希望：铁屋中的呐喊,zh,en,True,True,True,2819,2222,0.788,22,22,5,5,0,0,0,0,,OK
2018-04-30-我见麓山多妩媚.md,2018-04-30-我见麓山多妩媚_translated.md,我见麓山多妩媚,zh,en,True,True,True,3214,2478,0.771,33,33,0,0,0,0,0,0,,OK
2018-12-05-从叶芝的《丽达与天鹅》看“诗之美”.md,2018-12-05-从叶芝的《丽达与天鹅》看“诗之美”_translated.md,从叶芝的《丽达与天鹅》看“诗之美”,zh,en,True,True,True,2559,2052,0.802,33,33,3,3,0,0,0,0,,OK
2016-10-10-乌云的银边.md,2016-10-10-乌云的银边_translated.md,乌云的银边,zh,en,True,True,True,1702,1333,0.783,8,8,0,0,0,0,0,0,,OK
2016-11-14-与严翼相教授登岳阳楼.md,2016-11-14-与严翼相教授登岳阳楼_translated.md,与严翼相教授登岳阳楼,zh,en,True,True,True,287,342,1.192,12,12,0,0,0,0,0,0,,OK
2016-03-13-On Virtue and Knowledge of Socrates.md,2016-03-13-On Virtue and Knowledge of Socrates_translated.md,On Virtue and Knowledge of Socrates,en,zh,True,True,True,1504,2613,1.737,11,11,0,0,0,0,0,0,,OK
2016-09-10-“有教无类”释义的再探讨.md,2016-09-10-“有教无类”释义的再探讨_translated.md,“有教无类”释义的再探讨,zh,en,True,True,True,5679,4521,0.796,42,42,0,0,0,0,0,0,,OK
2016-10-15-从心所欲，不逾矩——情欲与伦理的和解式.md,2016-10-15-从心所欲，不逾矩——情欲与伦理的和解式_translated.md,从心所欲，不逾矩——情欲与伦理的和解式,zh,en,True,True,True,1643,1224,0.745,6,6,0,0,0,0,0,0,,OK
2016-06-01-渊明评传.md,2016-06-01-渊明评传_translated.md,渊明评传,zh,en,True,True,True,2107,2645,1.255,12,12,0,0,0,0,0,0,,OK
2016-06-30-现代化视角下的湖南时务学堂“新旧之争”.md,2016-06-30-现代化视角下的湖南时务学堂“新旧之争”_translated.md,现代化视角下的湖南时务学堂“新旧之争”,zh,en,True,True,True,26174,22191,0.848,161,158,5,5,0,0,0,0,,OK
2016-04-13-试论《新著国语文法》的“句本位”思想.md,2016-04-13-试论《新著国语文法》的“句本位”思想_translated.md,试论《新著国语文法》的“句本位”思想,zh,en,True,True,True,12654,9092,0.719,72,71,7,7,0,0,0,0,,OK
2016-05-01-Human nature -- An extra episode of Sophie's World.md,2016-05-01-Human nature -- An extra episode of Sophie's World_translated.md,Human nature -- An extra episode of Sophie's World,en,zh,True,True,True,2472,3926,1.588,83,82,0,0,0,0,0,0,,OK
2016-06-23-莎菲女士是什么样的女人?.md,2016-06-23-莎菲女士是什么样的女人?_translated.md,莎菲女士是什么样的女人?,zh,en,True,True,True,6792,4912,0.723,32,32,0,0,0,2,0,0,,OK
